citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
63 FR 44771, 98-22595,44772,https://www.federalregister.gov/documents/1998/08/20/98-22595/blocking-property-of-unita-and-prohibitingcertain-transactions-with-respect-to-unita,https://www.govinfo.gov/content/pkg/FR-1998-08-20/pdf/98-22595.pdf,Presidential Document,Executive Order,08/20/1998,1998-08-18,44771,Blocking Property of UNITA and ProhibitingCertain Transactions With Respect to UNITA,"See: EO 12865, September 26, 1993; Notice of September 22, 2000; Notice of September 24, 2001; Notice of September 23, 2002 (67 FR 60105)
Revoked by: EO 13298, May 6, 2003",13098,""
63 FR 60201, 98-30054,60201,https://www.federalregister.gov/documents/1998/11/06/98-30054/open-enrollment-season-for-participants-in-the-foreign-service-retirement-and-disability-system-and,https://www.govinfo.gov/content/pkg/FR-1998-11-06/pdf/98-30054.pdf,Presidential Document,Executive Order,11/06/1998,1998-11-02,60201,Open Enrollment Season for Participants in the Foreign Service Retirement and Disability System and the Central Intelligence Agency Retirement and Disability System,"",13105,""
63 FR 43065, 98-21710,43065,https://www.federalregister.gov/documents/1998/08/11/98-21710/interparliamentary-union,https://www.govinfo.gov/content/pkg/FR-1998-08-11/pdf/98-21710.pdf,Presidential Document,Executive Order,08/11/1998,1998-08-07,43065,Interparliamentary Union,"",13097,""
63 FR 52125, 98-26250,52125,https://www.federalregister.gov/documents/1998/09/29/98-26250/further-amendment-to-executive-order-13038-advisory-committee-on-public-interest-obligations-of,https://www.govinfo.gov/content/pkg/FR-1998-09-29/pdf/98-26250.pdf,Presidential Document,Executive Order,09/29/1998,1998-09-25,52125,"Further Amendment to Executive Order 13038, Advisory Committee on Public Interest Obligations of Digital Television Broadcasters","Amends: EO 13038, March 11, 1997 
Note: EO 13102 is nullified by virtue of the Committee being abolished by EO 13138, September 30, 1999.",13102,""
64 FR 16333, 99-8433,16335,https://www.federalregister.gov/documents/1999/04/05/99-8433/identification-of-trade-expansion-priorities-and-discriminatory-procurement-practices,https://www.govinfo.gov/content/pkg/FR-1999-04-05/pdf/99-8433.pdf,Presidential Document,Executive Order,04/05/1999,1999-03-31,16333,Identification of Trade Expansion Priorities and Discriminatory Procurement Practices,"",13116,""
63 FR 42565, 98-21400,42565,https://www.federalregister.gov/documents/1998/08/07/98-21400/suspension-of-executive-order-13083,https://www.govinfo.gov/content/pkg/FR-1998-08-07/pdf/98-21400.pdf,Presidential Document,Executive Order,08/07/1998,1998-08-05,42565,Suspension of Executive Order 13083,"Suspends: EO 13083, May 14, 1998
Note: Suspends Executive order dealing with new federalism provisions.
Revoked by: EO 13132, August 4, 1999",13095,""
63 FR 42681, 98-21643,42684,https://www.federalregister.gov/documents/1998/08/11/98-21643/american-indian-and-alaska-native-education,https://www.govinfo.gov/content/pkg/FR-1998-08-11/pdf/98-21643.pdf,Presidential Document,Executive Order,08/11/1998,1998-08-06,42681,American Indian and Alaska Native Education,"See: Proc. 7246, October 30, 1999 
Revoked by: EO 13336, April 30, 2004",13096,""
63 FR 40803, 98-20590,40804,https://www.federalregister.gov/documents/1998/07/30/98-20590/proliferation-of-weapons-of-mass-destruction,https://www.govinfo.gov/content/pkg/FR-1998-07-30/pdf/98-20590.pdf,Presidential Document,Executive Order,07/30/1998,1998-07-28,40803,Proliferation of Weapons of Mass Destruction,"Amends: EO 12938, November 14, 1994
See: Notice of November 6, 2002; Notice of October 29, 2003; Notice of November 4, 2004; EO 13382, June 28, 2005; Notice of October 25, 2005; Notice of October 27, 2006; Notice of November 8, 2007; Notice of November 10, 2008; Notice of November 6, 2009",13094,""
59 FR 17670, 94-9117,17674,https://www.federalregister.gov/documents/1994/04/13/94-9117/coordinating-geographic-data-acquisition-and-access-the-national-spatial-data-infrastructure,"",Presidential Document,Executive Order,04/13/1994,1994-04-11,17670,Coordinating Geographic Data Acquisition and Access: The National Spatial Data Infrastructure,"Amended by: EO 13286, February 28, 2003",12906,""
59 FR 24339, 94-11547,24340,https://www.federalregister.gov/documents/1994/05/10/94-11547/prohibiting-certain-transactions-with-respect-to-haiti,"",Presidential Document,Executive Order,05/10/1994,1994-05-07,24339,Prohibiting Certain Transactions With Respect to Haiti,"Revoked by: EO 12932, October 14, 1994
See: 59 FR 25809; 59 FR 26333; 59 FR 32744; EO 12922, June 21, 1994; 59 FR 51066; Notice of September 30, 1994",12914,""
