citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
39 FR 23185, ,"","","",Presidential Document,Executive Order,06/27/1974,1974-06-25,"",Providing for the effectuation of the Federal Energy Administration Act of 1974,"Amends: Proc. 3279, March 10, 1959
Revokes: EO 11748, December 4, 1973
Revokes in part: Proc 3279 March 10, 1959; EO 11775, March 26, 1974
Amended by: EO 12038, February 3, 1978;       EO 12919, June 3, 1994
See: EO 10480, August 14, 1953;       EO 11912, April 13, 1976; EO       11930, July 30, 1976; EO 12287,       January 28, 1981",11790,""
39 FR 23191, ,"","","",Presidential Document,Executive Order,06/27/1974,1974-06-25,"",Abolishing the Advisory Council on Intergovernmental Personnel Policy,"Revokes: EO 11607, July 19, 1971",11792,""
39 FR 25937, ,"","","",Presidential Document,Executive Order,07/15/1974,1974-07-11,"","Revoking Executive Order No. 10958, relating to the Civil Defense medical and food stockpiles","Revokes: EO 10958, August 14, 1961",11794,""
39 FR 27891, ,"","","",Presidential Document,Executive Order,08/02/1974,1974-07-30,"",Continuing the regulation of exports,"Revoked by: EO 11798, August 14, 1974",11796,""
34 FR 1223, ,"","","",Presidential Document,Executive Order,01/25/1969,1969-01-23,"",Establishing the Council for Urban Affairs,"Amended by: EO 11500, December 12, 1969
Council terminated by EO 11541 of July 1,       1970
Revoked by: EO 12553, February 25, 1986",11452,""
34 FR 2301, ,"","","",Presidential Document,Executive Order,02/18/1969,1969-02-14,"",Providing for a special assistant to the President for liaison with former Presidents,"",11456,""
34 FR 3793, ,"","","",Presidential Document,Executive Order,03/05/1969,1969-03-04,"","Inspection of income, excess-profits, estate, and gift tax returns by the Committee on Government Operations, House of Representatives","",11457,""
34 FR 5057, ,"","","",Presidential Document,Executive Order,03/11/1969,1969-03-07,"",Designation of the Secretary of Transportation to approve and certificate containers and vehicles for use in international transport,"Superseded by: EO 12445, October 17, 1983",11459,""
34 FR 5535, ,"","","",Presidential Document,Executive Order,03/22/1969,1969-03-20,"",Establishing the President's Intelligence Advisory Board,"Revokes: EO 10938, May 4, 1961
Revoked by: EO 11984, May 4, 1977
See: EO 11905, February 18, 1976",11460,""
34 FR 5901, ,"","","",Presidential Document,Executive Order,03/29/1969,1969-03-27,"","Inspection of income, estate, and gift tax returns by the Committee on Public Works, House of Representatives","",11461,""
34 FR 7271, ,"","","",Presidential Document,Executive Order,05/03/1969,1969-05-01,"",Delegating to the Secretary of State authority to approve or reject recommendations and actions of certain fisheries commissions,"Amended by: EO 12608, September 9, 1987",11467,""
34 FR 8191, ,"","","",Presidential Document,Executive Order,05/27/1969,1969-05-23,"",Extending the life of the National Commission on the Causes and Prevention of Violence,"Amends: EO 11412, June 10, 1968",11469,""
34 FR 8227, ,"","","",Presidential Document,Executive Order,05/28/1969,1969-05-26,"",Prescribing arrangements for the structure and conduct of a national program for voluntary action,"Superseded by: EO 11603, June 30, 1971;       EO 12137, May 16, 1979",11470,""
34 FR 8349, ,"","","",Presidential Document,Executive Order,05/30/1969,1969-05-28,"",Relating to the implementation of the Convention on the Service Abroad of Judicial and Extrajudicial Documents in Civil or Commercial Matters,"",11471,""
34 FR 8693, ,"","","",Presidential Document,Executive Order,06/03/1969,1969-05-29,"",Establishing the Environmental Quality Council and the Citizens' Advisory Committee on Environmental Quality,"Revokes: EO 11278, May 4, 1966; EO       11359A, June 29, 1967; EO 11402, March       29, 1968
Amended by: EO 11514, March 5, 1970, EO       11541, July 1, 1970; EO 12007,       August 22, 1977
Committee continued by: EO 11827, January       4, 1975 ; EO 11948, December 20, 1976
Committee terminated by: EO 12007       of August 22, 1977
See Pub. L. 91-190 (83 Stat 852); 91-224 (84 Stat. 114)",11472,""
34 FR 9485, ,"","","",Presidential Document,Executive Order,06/18/1969,1969-06-14,"",Amending Executive Order No. 11157 as it relates to incentive pay for hazardous duty involving participation in flight operations on the flight deck of an aircraft carrier,"Amends: EO 11157, June 22, 1964
See: EO 11242, August 28, 1965",11473,""
34 FR 9605, ,"","","",Presidential Document,Executive Order,06/19/1969,1969-06-16,"",Adjusting rates of pay for certain statutory schedules,"Superseded by: EO 11811, October 7,       1974",11474,""
34 FR 9609, ,"","","",Presidential Document,Executive Order,06/19/1969,1969-06-16,"",Adjusting the rates of monthly basic pay for members of the Uniformed Services,"Superseded by: EO 11812, October 7,       1974",11475,""
34 FR 10502, ,"","","",Presidential Document,Executive Order,06/28/1969,1969-06-19,"","Prescribing the Manual for Courts-Martial, United States, 1969 (Revised edition)","Amended by: EO 11835, January 27, 1975;       EO 12018, November 3, 1977; EO       12198, March 12, 1980; EO 12233, September       1, 1980; EO 12306, June 1, 1981; EO       12315, July 29, 1981; EO 12340, January       20, 1982; EO 12383, September 23, 1982; EO       12460, January 24, 1984
Revoked by: EO 12473, April 13, 1984 (rescinded)
See: EO 10214, February 8, 1951; EO       11430, September 11, 1968",11476,""
34 FR 12985, ,"","","",Presidential Document,Executive Order,08/12/1969,1969-08-08,"",Equal employment opportunity in the Federal Government,"Supersedes in part: EO 11246, September       24, 1965; EO 11375, October 13, 1967
Amended by: EO 11590, April 23, 1971; EO       12106, December 28, 1978; EO 13087, May       28, 1998; EO 13152, May 2, 2000; EO 13672, July 21, 2014;
See: Public Law 92-261 (86 Stat. 103), sec. 717",11478,""
34 FR 14757, ,"","","",Presidential Document,Executive Order,09/25/1969,1969-09-23,"","Inspection of income tax returns by the Select Committee on Crime, House of Representatives","",11483,""
34 FR 15337, ,"","","",Presidential Document,Executive Order,10/02/1969,1969-09-29,"","Designating the United International Bureau for the Protection of Intellectual Property (BIRPI) as a public international organization entitled to enjoy certain privileges, exemptions, and immunities","",11484,""
