citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
42 FR 27195, ,"","","",Presidential Document,Executive Order,05/26/1977,1977-05-24,"",Establishing the Committee on Selection of Federal Judicial Officers,"Committee continued by: EO 12110, December      28, 1978; EO 12258, December 31, 1980
Revoked by: EO 12305, May 5, 1981",11992,""
42 FR 28869, ,"","","",Presidential Document,Executive Order,06/06/1977,1977-06-01,"",United States foreign intelligence activities,"Amends: EO 11905, February 18, 1976
Superseded by: EO 12036, January 24, 1978
See: EO 11985, May 13, 1977",11994,""
42 FR 30489, ,"","","",Presidential Document,Executive Order,06/15/1977,1977-06-14,"",The Honorable Tom C. Clark,"",11996,""
42 FR 31759, ,"","","",Presidential Document,Executive Order,06/23/1977,1977-06-22,"","Withholding of District of Columbia, State, city and county income or employment taxes","Revokes: EO 11968, January 31, 1977",11997,""
42 FR 33021, ,"","","",Presidential Document,Executive Order,06/29/1977,1977-06-27,"",President's Commission on Military Compensation,"Revoked by: EO 12110, December 28, 1978",11998,""
42 FR 33709, ,"","","",Presidential Document,Executive Order,07/01/1977,1977-06-29,"",Transferring certain Bicentennial functions to the Secretary of the Interior,"Revokes: EO 11840, February 18, 1975",12001,""
42 FR 35623, ,"","","",Presidential Document,Executive Order,07/11/1977,1977-07-07,"","Administration of the Export Administration Act of 1969, as amended","Revokes: EO 11533, June 4, 1970; EO      11683, August 29, 1972; EO 11798,      August 14, 1974; EO 11818, November 5,      1974; EO 11907, March 1, 1976; EO      11940, September 30, 1976
Amended by: EO 12755, March 12, 1991; EO 13286, February 28, 2003
See: EO 11846, March 27, 1975; EO      12444, October 14, 1983; EO 12451, December      20, 1983; EO 12730, September 30, 1990; EO      12867, September 30, 1993; EO 12923, June      30, 1994; EO 12924, August 19, 1994; EO      12981of December 5, 1995; EO 13206,      April 4, 2001; EO 13222, August 17,      2001",12002,""
42 FR 37523, ,"","","",Presidential Document,Executive Order,07/22/1977,1977-07-20,"",Relating to energy policy and conservation,"Amends: EO 11912, April 13, 1976",12003,""
42 FR 37527, ,"","","",Presidential Document,Executive Order,07/22/1977,1977-07-20,"",Relating to Federal pay administration,"Amends: EO 11721, May 23, 1973
Amended by: EO 12107, December 28, 1978",12004,""
42 FR 38167, ,"","","",Presidential Document,Executive Order,07/27/1977,1977-07-23,"",Amending the Generalized System of Preferences,"",12005,""
42 FR 39081, ,"","","",Presidential Document,Executive Order,08/02/1977,1977-07-29,"",Exemption of G. Joseph Minetti from mandatory retirement,"See: EO 12011, September 30, 1977; EO      12016, October 31, 1977; EO 12037, January      31, 1978; EO 12056, April 28, 1978",12006,""
42 FR 42839, ,"","","",Presidential Document,Executive Order,08/25/1977,1977-08-22,"",Termination of certain Presidential advisory committees,"Amends: EO 11126, November 1, 1963;      EO 11472, May 29, 1969; EO      11583, February 24, 1971; EO 11625, October      13, 1971
Revokes: EO 11962, January 19, 1977
Supersedes in part: EO 11948, December 20,      1976
See: EO 11221, May 6, 1965; EO      11514, March 5, 1970",12007,""
42 FR 43373, ,"","","",Presidential Document,Executive Order,08/29/1977,1977-08-25,"",Presidential Management Intern Program,"Amended by: EO 12107, December 28, 1978
Revoked by: EO 12364, May 24, 1982",12008,""
42 FR 46267, ,"","","",Presidential Document,Executive Order,09/15/1977,1977-09-13,"",Providing for the effectuation of the Department of Energy Organization Act,"Revoked by: EO 12553, February 25, 1986
See: EO 12038, February 3, 1978",12009,""
42 FR 53899, ,"","","",Presidential Document,Executive Order,10/04/1977,1977-09-30,"",Exemption of G. Joseph Minetti from mandatory retirement,"See: EO 12006, July 29, 1977; EO      12016, October 31, 1977; EO 12037, January      31, 1978; EO 12056, April 28, 1978",12011,""
42 FR 54249, ,"","","",Presidential Document,Executive Order,10/05/1977,1977-10-03,"",White House Fellowships,"Amends: EO 11183, October 3, 1964
See: EO 11648, February 16, 1972",12012,""
42 FR 54931, ,"","","",Presidential Document,Executive Order,10/12/1977,1977-10-07,"",Relating to the Transfer of Certain Statistical Policy Functions,"Amends: EO 10033, February 8, 1949; EO      10253, June 11, 1951; EO 11541, July 1,      1970; EO 11961, January 19, 1977
Revoked by: EO 12318, August 21,      1981",12013,""
42 FR 56105, ,"","","",Presidential Document,Executive Order,10/21/1977,1977-10-19,"",Relating to the President's Award for Distinguished Federal Civilian Service,"Amends: EO 10717, May 9, 1973
Amended by: EO 12107, December 28, 1978",12014,""
42 FR 57297, ,"","","",Presidential Document,Executive Order,11/02/1977,1977-10-31,"",Exemption of G. Joseph Minetti from mandatory retirement,"See: EO 12006, July 29, 1977; EO      12011, September 30, 1977; EO 12037, January      31, 1978; EO 12056, April 28, 1978",12016,""
42 FR 57941, ,"","","",Presidential Document,Executive Order,11/07/1977,1977-11-03,"",Amending the Code of Conduct for Members of the Armed Forces of the United States,"Amends: EO 10631, August 17, 1955",12017,""
42 FR 57943, ,"","","",Presidential Document,Executive Order,11/07/1977,1977-11-03,"","Amending the Manual for Courts-Martial, United States, 1969 (Revised Edition)","Amends: EO 11476, June 19, 1969 (which      was rescinded by EO 12473, April 13, 1984)
See: EO 12198, March 12, 1980",12018,""
42 FR 61237, ,"","","",Presidential Document,Executive Order,12/02/1977,1977-11-30,"",Amending the Civil Service Rules to exempt certain positions from the Career Service,"",12021,""
42 FR 63633, ,"","","",Presidential Document,Executive Order,12/19/1977,1977-12-15,"",Termination of the Federal Property Council,"Amends: EO 11954, January 7, 1977
Revoked by: EO 12348, February 25, 1982",12030,""
43 FR 1917, ,"","","",Presidential Document,Executive Order,01/13/1978,1978-01-10,"",Providing for the appointment of former ACTION cooperative volunteers to the civilian career service,"Revoked by: EO 12608, September 9, 1987
See: EO 11103, April 10, 1963",12034,""
43 FR 3073, ,"","","",Presidential Document,Executive Order,01/23/1978,1978-01-20,"",Relating to certain positions in level IV of the Executive Schedule,"Amends: EO 11861, May 21, 1975
Revoked by: EO 12076, August 18, 1978",12035,""
43 FR 3674, ,"","","",Presidential Document,Executive Order,01/26/1978,1978-01-24,"",United States Intelligence Activities,"See: EO 13470, July 30, 2008
Supersedes: EO 11905, February 18, 1976;       EO 11985, May 13, 1977; EO       11994, June 1, 1977
Amended by: EO 12139, May 23, 1979
Revoked by: EO 12333, December 4,       1981
See: EO 12333, December 4, 1981; EO 13470, July 30, 2008",12036,""
43 FR 4957, ,"","","",Presidential Document,Executive Order,02/07/1978,1978-02-03,"",Relating to Certain Functions Transferred to the Secretary of Energy by the Department of Energy Organization Act,"Amends: Proc. 3279, March 10, 1959; EO 8526,       August 26, 1940; EO 10127, May 23, 1950; EO       10480, August 14, 1953; EO 10485,       September 3, 1953; EO 10865, February 20,       1960; EO 10899, December 9, 1960; EO       11057, October 18, 1962; EO 11177, September       16, 1964; EO 11331, March 6, 1967; EO       11345, April 20, 1967; EO 11371, September       6, 1967; EO 11477, August 7, 1969; EO       11490, October 28, 1969; EO 11578, January       13, 1971; EO 11647, February 10, 1972; EO       11652, March 8, 1972; EO 11658, March       22, 1972; EO 11659, March 22, 1972; EO       11752, December 17, 1973; EO 11761,       January 17, 1974; EO 11790, June 25,       1974; EO 11902, February 2, 1976; EO       11905, February 18, 1976; EO 11912, April       13, 1976; EO 11969, February 2, 1977
Amended by: EO 12156, September 10, 1979
See: Proc. 4317, September 27, 1974; Proc. 4341, January 23, 1975; Proc.       4355, March 4, 1975; Proc. 4370, April 30, 1975; Proc. 4377, May 27, 1975;       Proc. 4412, January 3, 1976; EO 10489,       September 26, 1953; EO 10537, June 22, 1954;       EO 10574, November 5, 1974; EO       10662, March 13, 1956; EO 10773, July       1, 1958; EO 10819, May 8, 1959; EO       11030, June 19, 1962; EO 11051, September       27, 1962; EO 11062, November 19, 1962; EO       11790, June 25, 1974; EO 11862, June 11,       1975; EO 11882, October 6, 1975; EO       11892, December 31, 1975; EO 11953,       January 7, 1977; EO 11956, January 13,       1977; EO 12003, July 20, 1977; EO       12009, September 13, 1977; EO 12287,       January 28, 1981",12038,""
43 FR 8097, ,"","","",Presidential Document,Executive Order,02/28/1978,1978-02-24,"",Relating to the Transfer of Certain Environmental Evaluation Functions,"Revoked by: EO 12553, February 25, 1986
See: Reorganization Plan No. 1 of 1977, 42 FR 56101",12040,""
43 FR 8099, ,"","","",Presidential Document,Executive Order,02/28/1978,1978-02-25,"",Amending the Generalized System of Preferences,"Amends: EO 11888, November 24, 1975
See: EO 11906, February 26, 1976; EO       11934, August 30, 1976; EO 11974,       February 25, 1977; EO 12032, December       27, 1977",12041,""
43 FR 12661, ,"","","",Presidential Document,Executive Order,03/24/1978,1978-03-23,"",Improving Government Regulations,"Amended by: EO 12221, June 27, 1980
Revoked by: EO 12291, February 17,       1981
See: EO 11821, November 27, 1974; EO       11949, December 31, 1976",12044,""
43 FR 13363, ,"","","",Presidential Document,Executive Order,03/29/1978,1978-03-27,"",Defense economic adjustment programs,"Amended by: EO 12107, December 28, 1978; EO       12608, September 9, 1987
Superseded by: EO 12788, January 15, 1992",12049,""
43 FR 15131, ,"","","",Presidential Document,Executive Order,04/11/1978,1978-04-07,"",Waiver under the Trade Act of 1974 with respect to the Hungarian People's Republic,"",12051,""
43 FR 15133, ,"","","",Presidential Document,Executive Order,04/11/1978,1978-04-07,"",National Commission for the Review of Antitrust Laws and Procedures,"Amends: EO 12022, December 1, 1977
Revoked by: EO 12258, December 31, 1980",12052,""
43 FR 16147, ,"","","",Presidential Document,Executive Order,04/17/1978,1978-04-14,"","National Commission on the International Year of the Child, 1979","",12053,""
43 FR 17457, ,"","","",Presidential Document,Executive Order,04/25/1978,1978-04-21,"",President's Commission on Foreign Language and International Studies,"Amended by: EO 12090, October 31, 1978
Revoked by: EO 12258, December 31, 1980",12054,""
43 FR 18157, ,"","","",Presidential Document,Executive Order,04/28/1978,1978-04-27,"",Export of special nuclear material to India,"",12055,""
43 FR 20947, ,"","","",Presidential Document,Executive Order,05/16/1978,1978-05-11,"",Functions relating to nuclear non-proliferation,"Revokes: EO 11902, February 2, 1976",12058,""
43 FR 20949, ,"","","",Presidential Document,Executive Order,05/16/1978,1978-05-11,"",United States Circuit Judge Nominating Commission,"Revokes: EO 11972, February 14, 1977;       EO 11993, May 24, 1977
Amended by: EO 12097, November 8, 1978
Commission continued by: EO 12110, December 28, 1978;       EO 12258, December 31, 1980
Revoked by: EO 12305, May 5, 1981",12059,""
43 FR 21315, ,"","","",Presidential Document,Executive Order,05/17/1978,1978-05-15,"",Relating to certain positions in levels IV and V of the Executive Schedule,"Amends: EO 11861, May 21, 1975 (which was       revoked by EO 12076, August 18, 1978)
Revokes: EO 11189, November 23, 1964; EO       11195, January 30, 1965; EO 11995,       June 8, 1977",12060,""
43 FR 23555, ,"","","",Presidential Document,Executive Order,05/31/1978,1978-05-26,"",President's Commission on the Coal Industry,"Revoked by: EO 12103, December 14, 1978",12062,""
