citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
56 FR 14631, ,"","","",Presidential Document,Executive Order,04/10/1991,1991-04-05,"",Addition to level IV of the Executive Schedule,"Amends: EO 12154, September 4, 1979",12758,""
56 FR 23645, ,"","","",Presidential Document,Executive Order,05/23/1991,1991-05-21,"",Establishment of the President's Environment and Conservation Challenge Awards,"",12761,""
56 FR 26587, ,"","","",Presidential Document,Executive Order,06/07/1991,1991-06-05,"",Federal Salary Council,"",12764,""
56 FR 27401, ,"","","",Presidential Document,Executive Order,06/13/1991,1991-06-11,"",Delegation of certain defense related authorities of the President to the Secretary of Defense,"",12765,""
56 FR 28463, ,"","","",Presidential Document,Executive Order,06/20/1991,1991-06-18,"",European Bank for Reconstruction and Development and European Space Agency,"Amends: EO 11269, February 14, 1966; EO      11760, January 11, 1974",12766,""
56 FR 30284, ,"","","",Presidential Document,Executive Order,07/01/1991,1991-06-27,"","Amendments to the Manual for Courts-Martial, United States, 1984","Amends: EO 12473, April 13, 1984
See: EO 12484, July 13, 1984; EO      12550, February 19, 1986; EO 12586, March      3, 1987; EO 12708, March 23, 1990; EO      12888, December 23, 1993; EO 12936, November      10, 1994; EO 12960, May 12, 1995; EO      13086, May 27, 1998; EO 13140, October      6, 1999",12767,""
56 FR 31855, ,"","","",Presidential Document,Executive Order,07/12/1991,1991-07-10,"",Implementation of section 311(a) of the Comprehensive Anti-Apartheid Act,"Revokes: EO 12532, September 9, 1985; EO      12535, October 1, 1985
See: EO 12571, October 27, 1986; 56 FR 32056;      56 FR 38335; 57 FR 4553",12769,""
56 FR 35801, ,"","","",Presidential Document,Executive Order,07/29/1991,1991-07-25,"",Metric usage in Federal Government programs,"",12770,""
56 FR 35993, ,"","","",Presidential Document,Executive Order,07/29/1991,1991-07-25,"",Revoking earlier orders with respect to Kuwait,"Revokes: EO 12723, August 2, 1990; EO      12725, August 9, 1990",12771,""
56 FR 41621, ,"","","",Presidential Document,Executive Order,08/22/1991,1991-08-17,"",Waiver under the Trade Act of 1974 with respect to Romania,"",12772,""
56 FR 50641, ,"","","",Presidential Document,Executive Order,10/07/1991,1991-10-04,"",Prohibiting Certain transactions with respect to Haiti,"Amended by (continued): Notice of September 30, 1992; Notice of September 30, 1994
Revoked in part by: EO 12779, October 28, 1991; EO      12853, June 30, 1993
Revoked by: EO 12932, October 14, 1994
See: EO 12872, October 18, 1993;      Notice of September 30, 1993; EO 12872,      October 18, 1993; EO 12914, May 7, 1994; EO      12917, May 21, 1994; EO 12920, June 10,      1994; EO 12922, June 21, 1994; 59 FR 51066",12775,""
56 FR 51315, ,"","","",Presidential Document,Executive Order,10/10/1991,1991-10-08,"",Extending the National Defense Service Medal to members of the Reserve components of the Armed Forces of the United States During the period of the Persian Gulf crisis,"Amended by: EO 13293, March 28, 2003",12776,""
56 FR 67451, ,"","","",Presidential Document,Executive Order,12/30/1991,1991-12-26,"",Extending the President's Education Policy Advisory Committee,"Amends: EO 12687, August 15, 1989",12785,""
57 FR 517, ,"","","",Presidential Document,Executive Order,01/07/1992,1991-12-31,"",The order of succession of officers to act as Secretary of Defense,"Revokes: EO 12514, May 14, 1985
Revoked by: EO 13000 of April 24, 1996",12787,""
57 FR 5225, ,"","","",Presidential Document,Executive Order,02/12/1992,1992-02-10,"",Delegation of reporting functions under the Immigration Reform and Control Act of 1986,"Amended by: EO 13286, February 28, 2003",12789,""
57 FR 8057, ,"","","",Presidential Document,Executive Order,03/05/1992,1992-03-03,"",Amending the Order Establishing the Southwest Asia Service Medal,"Amends: EO 12754, March 12, 1991",12790,""
57 FR 9165, ,"","","",Presidential Document,Executive Order,03/16/1992,1992-03-12,"",National Commission on America's Urban Families,"Amended by: EO 12827, December 30, 1992
Revoked by: EO 12869, September      30, 1993",12792,""
57 FR 14321, ,"","","",Presidential Document,Executive Order,04/20/1992,1992-04-16,"","Waiver Under the Trade Act of 1974 with respect to the Republic of Byelarus, the Republic of Kyrgyzstan, and the Russian Federation","",12802,""
57 FR 24347, ,"","","",Presidential Document,Executive Order,06/09/1992,1992-06-05,"",Blocking property of and prohibiting transactions with the Federal Republic of Yugoslavia (Serbia and Montenegro),"Amended by (continued): Notice, May 25, 1993; Notice, May 25, 1994; Notice, May 24, 1996; Notice, May 28, 1997
Revoked in part by: EO 12831, January      15, 1993
See: EO 12846, April 25, 1993; Final      Rule of January 3, 1996 (61 FR 629); Presidential Determination No. 96-7      of December 27, 1995; Notice of May 25, 2000; Notice of May 24, 2001
Revoked by: EO 13304, May 28, 2003",12810,""
57 FR 28585, ,"","","",Presidential Document,Executive Order,06/26/1992,1992-06-24,"",Waiver Under the Trade Act of 1974 With Respect to Tajikistan and Turkmenistan,"",12811,""
57 FR 32879, ,"","","",Presidential Document,Executive Order,07/24/1992,1992-07-22,"",Declassification and Release of Materials Pertaining to Prisoners of War and Missing in Action,"",12812,""
57 FR 34851, ,"","","",Presidential Document,Executive Order,08/07/1992,1992-08-04,"",President's Commission on Management of the Agency for International Development (AID) Programs,"Amended by: EO 12815, September 30, 1992
Revoked by: EO 12869, September      30, 1993",12813,""
57 FR 53429, ,"","","",Presidential Document,Executive Order,11/09/1992,1992-11-05,"",Facilitating Federal Employees' Participation in Community Service Activities,"Revoked by: EO 13401, April 27, 2006",12820,""
57 FR 54285, ,"","","",Presidential Document,Executive Order,11/18/1992,1992-11-16,"",Improving Mathematics and Science Education in Support of the National Education Goals,"Superseded by EO 12999 of April 17, 1996",12821,""
57 FR 54289, ,"","","",Presidential Document,Executive Order,11/18/1992,1992-11-16,"",Providing for Payment of Separate Maintenance Allowances to Employees Assigned to Johnston Island,"Amends: EO 11609, July 22, 1971",12822,""
57 FR 60973, ,"","","",Presidential Document,Executive Order,12/22/1992,1992-12-18,"","Half-Day Closing of Executive Departments and Agencies of the Federal Government on Thursday, December 24, 1992","",12825,false
58 FR 4061, ,"","","",Presidential Document,Executive Order,01/13/1993,1993-01-09,"",Establishing the Military Outstanding Volunteer Service Medal,"Amended by: EO 13286, February 28, 2003",12830,""
58 FR 5253, ,"","","",Presidential Document,Executive Order,01/21/1993,1993-01-15,"",Additional Measures With Respect to the Federal Republic of Yugoslavia (Serbia and Montenegro),"Revokes in part: EO 12810, June 5, 1992
Amended by: (continued by) Notice, May 25, 1993; Notice, May 25, 1994; Notice, May 24, 1996; Notice May 28, 1997
See: EO 12808, May 30, 1992; EO 12846, April 25, 1993; Presidential Determination No. 96-7 of December 27, 1995; Notice of May 25, 2000; Notice of May 24, 2001
Revoked by: EO 13304, May 28, 2003",12831,""
